"Entity","Year","AV_center","AV_left","AV_right","Bioenergy (% electricity)","Coal (% electricity)","Code","Gas (% electricity)","gdp_2021_milUSD","gdp_percapita_USD","gov_cent1","gov_left1","gov_party","gov_right1","HDI_2021","Hydro (% electricity)","land_area_sqkm","latitude","longitude","Low-carbon electricity (% electricity)","Nuclear (% electricity)","Oil (% electricity)","Other renewables excluding bioenergy (% electricity)","PolAV","population","Renewables (% electricity)","Solar (% electricity)","Wind (% electricity)"
"Austria",1990,47.93,34.24,12.61,2.2920892,12.555781,"AUT",15.659229,NA,NA,46.71,46.71,"3,00",0,NA,63.91481,NA,NA,NA,66.206894,0,5.5780935,0,"",NA,66.206894,0,0
"Austria",1991,47.93,34.24,12.61,2.4113193,13.630929,"AUT",14.886409,NA,NA,47.06,47.06,"3,00",0,NA,62.65444,NA,NA,NA,65.065765,0,6.416899,0,"",NA,65.065765,0,0
"Austria",1992,47.93,34.24,12.61,2.6226225,8.228228,"AUT",13.293293,NA,NA,43.75,50,"3,00",0,NA,69.76976,NA,NA,NA,72.392395,0,6.086086,0,"",NA,72.392395,0,0
"Austria",1993,47.93,34.24,12.61,2.6085265,5.801051,"AUT",13.217832,NA,NA,43.75,50,"3,00",0,NA,71.461945,NA,NA,NA,74.07047,0,6.9106483,0,"",NA,74.07047,0,0
"Austria",1994,47.93,34.24,12.61,2.2836308,5.948954,"AUT",16.580313,NA,NA,43.75,50,"3,00",0,NA,68.528114,NA,NA,NA,70.81174,0,6.6589904,0,"",NA,70.81174,0,0
"Austria",1995,47.93,34.24,12.61,3.3345416,7.8289227,"AUT",16.147154,NA,NA,43.75,50,"3,00",0,NA,67.18014,NA,NA,NA,70.51468,0,5.5092425,0,"",NA,70.51468,0,0
"Austria",1996,47.93,34.24,12.61,2.930745,9.856263,"AUT",17.547134,NA,NA,43.03,50,"3,00",0,NA,63.879036,NA,NA,NA,66.809784,0,5.786821,0,"",NA,66.809784,0,0
"Austria",1997,47.93,34.24,12.61,3.035201,10.470546,"AUT",15.2119255,NA,NA,45.91,46.44,"3,00",0,NA,64.85273,NA,NA,NA,67.92385,0,6.393678,0,"",NA,67.92385,0,0.03591954
"Austria",1998,47.93,34.24,12.61,3.2546496,7.385551,"AUT",15.861946,NA,NA,46.15,46.15,"3,00",0,NA,66.45208,NA,NA,NA,69.79614,0,6.9563665,0,"",NA,69.79614,0,0.08941345
"Austria",1999,47.93,34.24,12.61,2.670227,7.376502,"AUT",15.504005,NA,NA,46.15,46.15,"3,00",0,NA,67.923904,NA,NA,NA,70.677574,0,6.4419227,0,"",NA,70.677574,0,0.083444595
