Entity,Year,land_area_sqkm,population,latitude,longitude,gdp_2021_milUSD,gdp_percapita_USD,HDI_2021
Austria,2021,82519,8978929,47.516231,14.550072,480368.40,53637.7,916
Belgium,2021,30452,11617623,50.503887,4.469936,594104.18,51247.0,937
Bulgaria,2021,110001,6838937,42.733883,25.48583,84056.31,12221.5,795
Croatia,2021,55896,3862305,45.1,15.2,68955.08,17685.3,858
Cyprus,2021,9213,904705,	35.126413,33.429859,28407.87,31551.8,896
Czechia,2021,77212,10516707,49.817492,15.472962,281777.89,26821.2,889
Denmark,2021,41987,5873420,56.26392,9.501785,398303.27,68007.8,948
Estonia,2021,43110,1331796,58.595272,25.013607,37191.17,27943.7,890
Finland,2021,304316,5548241,61.92411,25.748151,297301.88,53654.8,940
France,2021,633886,67871925,46.227638,2.213749,2957879.76,43659.0,903
Germany,2021,353296,83237124,51.165691,10.451526,4259934.91,51203.6,942
Greece,2021,130048,10459782,39.074208,21.824312,214873.88,20192.6,887
Hungary,2021,91248,9689010,47.162494,19.503304,181848.02,18728.1,846
Ireland,2021,70280,5060004,53.41291,-8.24389,504182.60,100172.1,945
Italy,2021,97825,59030133,41.87194,12.56738,2107702.84,35657.5,895
Latvia,2021,63290,1875757,56.879635,24.603189,39853.50,21148.2,863
Lithuania,2021,62643,2805998,55.169438,23.881275,66445.26,23723.3,875
Luxembourg,2021,2586,645397,49.815273,6.129583,85506.24,133590.1,930
Malta,2021,313,520971,35.937496,14.375416,17364.04,33486.7,918
Netherlands,2021,34188,17590672,52.132633,5.291266,1012846.76,57767.9,941
Poland,2021,307236,37654247,51.919438,19.145136,679444.83,17999.9,876
Portugal,2021,90996,10352042,39.399872,-8.224454,253663.14,24567.5,866
Romania,2021,234270,19042455,45.943161,24.96676,284087.56,14858.2,821
Slovakia,2021,48702,5434712,48.669026,19.699024,116527.10,21391.9,848
Slovenia,2021,20145,2107180,46.151241,14.995463,61748.59,29291.4,918
Spain,2021,502654,47432893,40.463667,-3.74922,1427380.68,30103.5,905
Sweden,2021,407300,10452326,60.128161,18.643501,635663.80,61028.7,947
